id_usuario,nome,senha,email,cpf,data_cadastro,data_nascimento,data_validade,id_industria,senha,id_telefone,numero,pdf_documento
1,H*****Teixeira,....................................................................................................,****************ha@example.org,098******86,2025-**-**,1969-**-**,2003-**-**,1,....................................................................................................,1,***********7631,*********_*****
2,E*****Fonseca,....................................................................................................,******************ao@example.net,476******96,2025-**-**,1984-**-**,2017-**-**,2,....................................................................................................,2,***********4391,*********_*****
3,G*****Lima,....................................................................................................,*****78@example.org,957******41,2025-**-**,1917-**-**,2002-**-**,3,....................................................................................................,3,**********3608,*********_*******
4,E*****Castro,....................................................................................................,******86@example.com,043******40,2025-**-**,1944-**-**,2005-**-**,4,....................................................................................................,4,**********3740,*********_******
5,V*****Rezende,....................................................................................................,*******os@example.net,027******07,2025-**-**,1913-**-**,1996-**-**,5,....................................................................................................,5,**********8683,*********_*******
6,B*****Rios,....................................................................................................,*******04@example.org,063******77,2025-**-**,1962-**-**,1990-**-**,6,....................................................................................................,6,**********0736,*********_******
7,S*****Cunha,....................................................................................................,******da@example.net,012******71,2025-**-**,1959-**-**,1993-**-**,7,....................................................................................................,7,**********8128,*********_******
8,A*****Rocha,....................................................................................................,***43@example.net,314******80,2025-**-**,1911-**-**,2011-**-**,8,....................................................................................................,8,**********9996,*********_******
9,M*****Dias,....................................................................................................,*********ia@example.org,135******03,2025-**-**,1964-**-**,1974-**-**,9,....................................................................................................,9,***********8368,*********_******
10,L*****Brito,....................................................................................................,*************ce@example.org,364******43,2025-**-**,1983-**-**,2011-**-**,10,....................................................................................................,10,**********0682,*********_******
11,G*****Grande,....................................................................................................,****************as@example.org,298******94,2025-**-**,1983-**-**,2019-**-**,11,....................................................................................................,11,**********9838,*********_*****
12,L*****Pacheco,....................................................................................................,********************ia@example.net,652******92,2025-**-**,1928-**-**,2010-**-**,12,....................................................................................................,12,**********8995,*********_*******
13,K*****Sales,....................................................................................................,******************uz@example.com,843******65,2025-**-**,1950-**-**,2007-**-**,13,....................................................................................................,13,***********2184,*********_******
14,M*****Gonçalves,....................................................................................................,*****79@example.org,419******66,2025-**-**,1932-**-**,1992-**-**,14,....................................................................................................,14,**********3419,*********_*******
15,Y*****Fogaça,....................................................................................................,******so@example.com,423******28,2025-**-**,1976-**-**,1998-**-**,15,....................................................................................................,15,***********8244,*********_******
16,M*****Fernandes,....................................................................................................,**********er@example.net,589******70,2025-**-**,2016-**-**,2019-**-**,16,....................................................................................................,16,***********6563,*********_******
17,A*****Monteiro,....................................................................................................,******go@example.com,835******24,2025-**-**,2011-**-**,1986-**-**,17,....................................................................................................,17,**********0306,*********_*****
18,M*****Almeida,....................................................................................................,*****62@example.net,481******75,2025-**-**,1932-**-**,2004-**-**,18,....................................................................................................,18,***********3873,*********_*******
19,S*****Pimenta,....................................................................................................,*************ra@example.net,936******64,2025-**-**,2005-**-**,1986-**-**,19,....................................................................................................,19,**********4230,*********_******
20,L*****Monteiro,....................................................................................................,*******is@example.com,631******62,2025-**-**,1923-**-**,1982-**-**,20,....................................................................................................,20,**********9420,*********_******
21,D*****Cunha,....................................................................................................,***********to@example.org,347******46,2025-**-**,1920-**-**,1973-**-**,21,....................................................................................................,21,**********9806,*********_******
22,G*****Alves,....................................................................................................,**************za@example.com,098******30,2025-**-**,1977-**-**,2013-**-**,22,....................................................................................................,22,**********3716,*********_******
23,D*****Araújo,....................................................................................................,*************es@example.org,836******40,2025-**-**,1937-**-**,1999-**-**,23,....................................................................................................,23,**********4023,*********_*****
24,L*****Brito,....................................................................................................,************do@example.net,604******67,2025-**-**,1967-**-**,1986-**-**,24,....................................................................................................,24,**********1685,*********_*****
25,Y*****Dias,....................................................................................................,*************es@example.net,851******44,2025-**-**,1966-**-**,1990-**-**,25,....................................................................................................,25,**********2228,*********_*******
26,L*****Martins,....................................................................................................,*******45@example.net,207******25,2025-**-**,1991-**-**,1993-**-**,26,....................................................................................................,26,**********5514,*********_******
27,G*****Peixoto,....................................................................................................,*****************de@example.com,286******42,2025-**-**,1976-**-**,1986-**-**,27,....................................................................................................,27,**********5061,*********_*******
28,L*****Moura,....................................................................................................,******do@example.com,570******76,2025-**-**,1965-**-**,2006-**-**,28,....................................................................................................,28,**********6198,*********_*******
29,D*****Camargo,....................................................................................................,******ra@example.net,106******25,2025-**-**,1975-**-**,1994-**-**,29,....................................................................................................,29,**********8174,*********_*******
30,M*****Rezende,....................................................................................................,****************de@example.org,329******06,2025-**-**,2008-**-**,1982-**-**,30,....................................................................................................,30,**********6103,*********_******
31,P*****Caldeira,....................................................................................................,***********ia@example.net,169******12,2025-**-**,1930-**-**,1996-**-**,31,....................................................................................................,31,**********3216,*********_*****
32,J*****Correia,....................................................................................................,******************ra@example.com,413******50,2025-**-**,1965-**-**,2008-**-**,32,....................................................................................................,32,**********1350,*********_*******
33,D*****Sampaio,....................................................................................................,**************le@example.org,823******88,2025-**-**,1944-**-**,1985-**-**,33,....................................................................................................,33,**********5611,*********_******
34,A*****Ferreira,....................................................................................................,***********ny@example.net,860******77,2025-**-**,1920-**-**,1976-**-**,34,....................................................................................................,34,**********8754,*********_******
35,M*****Rosa,....................................................................................................,*************iz@example.org,461******19,2025-**-**,1939-**-**,2013-**-**,35,....................................................................................................,35,***********1417,*********_*****
36,H*****Mendes,....................................................................................................,****20@example.net,947******06,2025-**-**,2024-**-**,2024-**-**,36,....................................................................................................,36,**********5259,*********_******
37,A*****Ramos,....................................................................................................,*********42@example.org,694******10,2025-**-**,2005-**-**,2017-**-**,37,....................................................................................................,37,**********9133,*********_******
38,M*****Fogaça,....................................................................................................,************ry@example.net,056******76,2025-**-**,1949-**-**,2021-**-**,38,....................................................................................................,38,**********1004,*********_*******
39,E*****Lopes,....................................................................................................,*****39@example.net,358******91,2025-**-**,1969-**-**,1997-**-**,39,....................................................................................................,39,**********1822,*********_*****
40,E*****Ribeiro,....................................................................................................,************ah@example.com,763******29,2025-**-**,1934-**-**,1993-**-**,40,....................................................................................................,40,***********4232,*********_*****
41,A*****Neves,....................................................................................................,************os@example.net,906******29,2025-**-**,1973-**-**,1988-**-**,41,....................................................................................................,41,**********4682,*********_******
42,N*****Albuquerque,....................................................................................................,*********te@example.org,592******00,2025-**-**,1930-**-**,1978-**-**,42,....................................................................................................,42,**********4878,*********_******
43,S*****Rosa,....................................................................................................,****31@example.net,813******69,2025-**-**,2006-**-**,1979-**-**,43,....................................................................................................,43,***********0690,*********_*****
