id_usuario,nome,senha,email,cpf,data_cadastro,data_nascimento,id_industria,id_telefone,numero,nome_pseudononimizado,email_pseudononimizado,numero_anonimizado,senha_anonimizado,cpf_anonimizado,data_nascimento_anonimizado,data_cadastro_anonimizado
1,Melina da Paz,%4Vz)BdFVR,estercamarg0@example.c0m,52703418914,2025-11-02,1910-08-28,9,1,+5585994003646,Rjqnsf%if%Uf,**********g0@example.c0m,**********3646,..........,527******14,1910-**-**,2025-**-**
2,Luiz Felipe Monteiro,*9HpzFILm7,almeidamaysa@example.net,48153207997,2025-11-02,1968-04-13,49,2,+5555949358886,Qzn%Kjqnuj%Rtsyjnwt,**********sa@example.net,**********8886,..........,481******97,1968-**-**,2025-**-**
3,Caroline Aparecida,Q!23SoBrbe,claran2vais@example.net,79210486501,2025-11-02,1962-03-13,17,3,+55013977071267,Hfwtqnsj%Fufwjhnif,*********is@example.net,***********1267,..........,792******01,1962-**-**,2025-**-**
4,Enrico Lima,1ZmH@a%M+6,matte3silva@example.c3m,34578961273,2025-11-02,1974-01-06,32,4,+55067953538552,Jswnht%Qnrf,*********va@example.c3m,***********8552,..........,345******73,1974-**-**,2025-**-**
5,Otto Duarte,e_O7#C*obE,maced4isabela@example.c4m,02741963525,2025-11-02,1919-02-21,29,5,+5578931154168,Tyyt%Izfwyj,***********la@example.c4m,**********4168,..........,027******25,1919-**-**,2025-**-**
6,Srta. Brenda Fogaça,$YDu43Ej0K,g5mesluiz-gustav5@example.net,64159832709,2025-11-02,1959-09-07,42,6,+55034957829884,Xwyf3%Gwjsif%Ktlfìf,***************v5@example.net,***********9884,..........,641******09,1959-**-**,2025-**-**
7,Gustavo Henrique Oliveira,!0gr!KohL$,isaac61@example.c6m,71849365075,2025-11-02,1918-11-01,14,7,+5575997855929,Lzxyf{t%Mjswnvzj%Tqn{jnwf,*****61@example.c6m,**********5929,..........,718******75,1918-**-**,2025-**-**
8,Yuri Azevedo,$^Giv9FiHq,fernandesmaria-julia@example.7rg,37624980169,2025-11-02,2020-04-30,32,8,+5523911347476,^zwn%Fj{jit,******************ia@example.7rg,**********7476,..........,376******69,2020-**-**,2025-**-**
9,Hadassa Oliveira,@YPAAIc25q,paul8garcia@example.net,81475309279,2025-11-02,1915-08-29,25,9,+5599921917245,Mfifxxf%Tqn{jnwf,*********ia@example.net,**********7245,..........,814******79,1915-**-**,2025-**-**
10,Matheus Costela,y9YsQHEX%n,scamarg9@example.net,17985203621,2025-11-02,1973-01-11,39,10,+55069944058735,Rfymjzx%Htxyjqf,******g9@example.net,***********8735,..........,179******21,1973-**-**,2025-**-**
11,Caleb Siqueira,tBx7G+#l&6,leticiajesus@example.10rg,19048635748,2025-11-02,1923-03-13,50,11,+5506993477636,Hfqjg%Xnvzjnwf,**********us@example.10rg,**********7636,..........,190******48,1923-**-**,2025-**-**
12,Sr. Renan Machado,)bky#5BfH0,sabrinagarcia@example.11rg,52619074894,2025-11-02,1947-02-13,45,12,+5575944713805,Xw3%Wjsfs%Rfhmfit,***********ia@example.11rg,**********3805,..........,526******94,1947-**-**,2025-**-**
13,Lara Barros,^9Wq6UySmA,marinada-c12nceica12@example.net,81927645328,2025-11-02,1952-04-07,18,13,+5507985841948,Qfwf%Gfwwtx,******************12@example.net,**********1948,..........,819******28,1952-**-**,2025-**-**
14,Luiz Fernando Novais,34IoId9_+s,agatha68@example.13rg,68532491006,2025-11-02,1991-07-07,15,14,+55060957310520,Qzn%Kjwsfsit%St{fnx,******68@example.13rg,***********0520,..........,685******06,1991-**-**,2025-**-**
15,Eloah da Luz,B6VxEDUV(b,b14rgesr14drig14@example.14rg,62187530426,2025-11-02,1959-11-07,7,15,+5597950090383,Jqtfm%if%Qz,**************14@example.14rg,**********0383,..........,621******26,1959-**-**,2025-**-**
16,Dra. Nina Souza,z00!AcUuq$,sarahda-c15sta@example.15rg,75481092611,2025-11-02,1992-02-14,2,16,+5528929337722,Iwf3%Snsf%Xtzf,************ta@example.15rg,**********7722,..........,754******11,1992-**-**,2025-**-**
17,Ísis Ferreira,3JHxZDuz*q,rribeir16@example.16rg,18534097232,2025-11-02,1966-12-02,2,17,+55066984951603,Òxnx%Kjwwjnwf,*******16@example.16rg,***********1603,..........,185******32,1966-**-**,2025-**-**
18,Thales da Cunha,Q!)W0Rnzz%,xm17nteir17@example.net,90863217478,2025-11-02,1954-03-19,35,18,+5580932442798,Ymfqjx%if%Hzsmf,*********17@example.net,**********2798,..........,908******78,1954-**-**,2025-**-**
19,Maria Flor Azevedo,Z(j0ZlxlF!,carvalh18eduarda@example.net,41962307506,2025-11-02,1964-06-13,25,19,+5506970282212,Rfwnf%Kqtw%Fj{jit,**************da@example.net,**********2212,..........,419******06,1964-**-**,2025-**-**
20,Léo Vasconcelos,be+6ACjq$B,emanuellacard19s19@example.c19m,08617392487,2025-11-02,1911-11-10,14,20,+5595983138070,Qît%[fxhtshjqtx,****************19@example.c19m,**********8070,..........,086******87,1911-**-**,2025-**-**
21,Sr. Fernando Pastor,dA&4LiXay!,dieg2004@example.net,47915680366,2025-11-02,1986-03-01,47,21,+55014941053938,Xw3%Kjwsfsit%Ufxytw,******04@example.net,***********3938,..........,479******66,1986-**-**,2025-**-**
22,Thales Moura,+1ORlSoqHG,acavalcante@example.c21m,69308745157,2025-11-02,1931-08-25,34,22,+55004916950328,Ymfqjx%Rtzwf,*********te@example.c21m,***********0328,..........,693******57,1931-**-**,2025-**-**
23,Ryan Lopes,o&c!U8VrhS,nic22las43@example.net,53480127932,2025-11-02,1918-09-11,49,23,+5591944991312,W~fs%Qtujx,********43@example.net,**********1312,..........,534******32,1918-**-**,2025-**-**
24,Giovanna Dias,7^g*8Ip(vy,estherg23ncalves@example.c23m,65231908460,2025-11-02,1958-11-07,32,24,+5583936256460,Lnt{fssf%Infx,**************es@example.c23m,**********6460,..........,652******60,1958-**-**,2025-**-**
25,Luísa Machado,Dqi$H5IvKj,da-c24nceica24maria-eduarda@example.24rg,93125806712,2025-11-02,1917-11-22,15,25,+5521987570513,Qzòxf%Rfhmfit,*************************da@example.24rg,**********0513,..........,931******12,1917-**-**,2025-**-**
26,Danilo Silveira,n!v3zWvlMF,m25ntenegr25ant25nella@example.net,56741392882,2025-11-02,1987-03-12,15,26,+5556929914838,Ifsnqt%Xnq{jnwf,********************la@example.net,**********4838,..........,567******82,1987-**-**,2025-**-**
27,Gustavo Ferreira,^5@9$Fko(G,n26vaeslucas-gabriel@example.c26m,13405287626,2025-11-02,2001-06-11,15,27,+5546965560560,Lzxyf{t%Kjwwjnwf,******************el@example.c26m,**********0560,..........,134******26,2001-**-**,2025-**-**
28,Rafaela Rezende,M^J)5GYwNs,ig27r08@example.net,63970521416,2025-11-02,1986-04-30,30,28,+55024924376327,Wfkfjqf%Wjjsij,*****08@example.net,***********6327,..........,639******16,1986-**-**,2025-**-**
